word,sw,phonetic,definition,translation,pos,collins,oxford,tag,bnc,frq,word_lower
a,a,ei,"n. the 1st letter of the Roman alphabet
n. the blood group whose red cells carry the A antigen","第一个字母 A; 一个; 第一的
art. [计] 累加器, 加法器, 地址, 振幅, 模拟, 区域, 面积, 汇编, 组件, 异步",a:99/t:1,5,1,zk gk,5,5,a
ability,ability,ә'biliti,"n. the quality of being able to perform; a quality that permits or facilitates achievement or accomplishment
n. possession of the qualities (especially mental qualities) required to do something or get something done","n. 能力, 才干
[经] 能力, 才能",n:100,4,1,zk gk cet4 ky toefl ielts,946,783,ability
able,able,'eibl,"a. (usually followed by `to') having the necessary means or skill or know-how or authority to do something
s. have the skills and qualifications to do things well
s. having inherent physical or mental ability or capacity
s. having a strong healthy body","a. 能干的, 能够的",j:100,5,1,zk gk,295,385,able
about,about,ә'baut,"s. on the move
r. all around or on all sides
r. in the area or vicinity
r. used of movement to or among many different places or in no particular direction","prep. 在...周围, 大约, 有关, 关于
adv. 大约, 四处, 在附近, 周围",i:80/r:20,5,1,zk gk,63,46,about
above,above,ә'bʌv,"n. an earlier section of a written text
s. appearing earlier in the same text
r. at an earlier place
r. in or to a place that is higher","prep. 在上方, 超出
adv. 在上面
a. 上述的, 上面的",i:61/r:33/j:6,4,1,zk gk,733,893,above
abroad,abroad,ә'brɒ:d,"s. in a foreign country
r. to or in a foreign country","adv. 往国外, 到室外, 到处
a. 往国外的, 在室外的, 广泛四散的",r:100,3,1,zk gk toefl,2243,3363,abroad
absent,absent,'æbsәnt,"v. go away or leave
a. not being in a specified place
s. lost in thought; showing preoccupation","a. 缺席的, 不在的, 缺乏的, 漫不经心的
vt. 使缺席",j:86/v:14,2,1,zk gk cet4 cet6 ky toefl,4300,5516,absent
accent,accent,'æksәnt,"n. distinctive manner of oral expression
n. a diacritical mark used to indicate stress or placed above a vowel to indicate a special pronunciation","n. 重音, 口音, 特点, 注重点
vt. 重读, 加重音号于, 强调",v:11/n:89,2,1,zk gk cet4 ky,3701,4140,accent
accept,accept,әk'sept,"v. consider or hold as true
v. receive willingly something given or offered
v. give an affirmative reply to; respond favorably to
v. react favorably to; consider right and proper","vt. 接受, 承认, 同意, 相信, 赞成, 承担, 承兑, 采纳, 接纳, 容忍
vi. 同意",v:100,5,1,zk gk cet4 ky,488,766,accept
accident,accident,'æksidәnt,"n. an unfortunate mishap; especially one causing damage or injury
n. anything that happens suddenly or by chance without an apparent cause","n. 意外事件, 机遇, 事故, 次要方面
[化] 意外事故; 事故",n:100,3,1,zk gk cet4 ky toefl,1187,1707,accident
ache,ache,eik,"n. a dull persistent (usually moderately intense) pain
v. have a desire for something or someone who is not present
v. be the source of pain","n. 疼痛
vi. 痛, 哀怜, 渴望",n:42/v:58,2,0,zk gk cet4 ky,8267,7717,ache
achieve,achieve,ә'tʃi:v,v. to gain with effort,"vt. 完成, 达到
vi. 如愿以偿",v:100,4,1,zk gk cet4 cet6 ky toefl ielts,592,1152,achieve
across,across,ә'krɒs,"r. to the opposite side
r. transversely","prep. 越过, 穿过, 与...相交叉, 在...的对面
adv. 交叉, 到另一边, 在对面, 成十字",i:91/r:9,5,1,zk gk,448,377,across
act,act,ækt,"n. a legal document codifying the result of deliberations of a committee or society or legislative body
n. something that people do or cause to happen
n. a subdivision of a play or opera or ballet
n. a short theatrical performance that is part of a longer program","n. 行动, 行为, 幕, 法案
vi. 行动, 表演, 假装, 见效, 表现, 担当
vt. 扮演, 装作
[计] 先进通信技术, 先进计算机工艺, 自动代码翻译技术",n:43/v:57,5,1,zk gk cet4 ky,371,837,act
action,action,'ækʃәn,"n. something done (usually as opposed to something said)
n. the state of being active
n. the series of events that form a plot
n. the trait of being active and energetic and forceful","n. 行动, 活动, 动作, 作用, 战斗, 行为, 诉讼
vt. 对...起诉
[计] 方式",n:100,5,1,zk gk cet4 cet6 ky toefl ielts,340,502,action
active,active,'æktiv,"n. a person who is a participating member of an organization
a. tending to become more severe or wider in scope
s. engaged in or ready for military or naval operations
a. disposed to take action or effectuate change","a. 活跃的, 起作用的, 积极的, 有效的, 主动的, 活性的, 现行的, 现役的
n. 主动语态, 积极分子",j:99/n:1,4,1,zk gk cet4 ky toefl,1316,1444,active
activity,activity,æk'tiviti,"n. any specific behavior
n. (chemistry) the capacity of a substance to take part in a chemical reaction","n. 活动, 行动, 活跃, 活力
[计] 活动",n:100,4,1,zk gk cet4 ky ielts,412,537,activity
add,add,æd,"v. make an addition (to); join or combine or unite with others; increase the quality, quantity, size or scope of
v. state or say further
v. make an addition by combining numbers
v. constitute an addition","vt. 增加, 添加, 附带说明, 计算...总和
vi. 做加法, 积累而成, 增添
[计] 加法",v:100,5,1,zk gk cet4 ky,330,340,add
address,address,ә'dres,"n. (computer science) the code that identifies where a piece of information is stored
n. the place where a person or organization can be found or communicated with
n. the act of delivering a formal spoken communication to an audience
n. the manner of speaking to another individual","n. 住址, 演说, 举止, 灵巧, 求爱
vt. 发表(演说或讲话), 对付, 写地址
[计] 地址, 寻址",n:33/v:67,4,1,zk gk cet4 cet6 ky toefl ielts gre,1522,1028,address
advantage,advantage,әd'vɑ:ntidʒ,"n. the quality of having a superior or more favorable position
n. (tennis) first point scored after deuce
n. benefit resulting from some event or action
v. give an advantage to","n. 优点, 便利, 好处, 优势
vt. 有助于",v:1/n:99,4,1,zk gk cet4 ky,969,1301,advantage
advertisement,advertisement,.ædvә'taizmәnt,n a public promotion of some product or service,"n. 广告, 启事, 广告宣传
[法] 广告, 公告, 告示",n:100,2,1,zk gk cet4 ielts,3277,5957,advertisement
advice,advice,әd'vais,n. a proposal for an appropriate course of action,"n. 忠告, 劝告, 意见, 报道, 通知
[经] 通知书, 通知, 建议",n:100,4,1,zk gk cet4 cet6 ky toefl ielts,962,1641,advice
advise,advise,әd'vaiz,v. inform (somebody) of something,"vt. 劝告, 给...出主意, 通知, 建议
vi. 提意见, 商量",v:100,3,1,zk gk cet4 cet6 ky toefl,1728,2552,advise
afford,afford,ә'fɒ:d,"v. be able to spare or give up
v. have the financial means to do something or buy something
v. afford access to","vt. 买得起, 足以, 给予",v:100,3,1,zk gk cet4 cet6 ky toefl ielts,1722,1846,afford
afraid,afraid,ә'freid,"a. filled with fear or apprehension
s. filled with regret or concern; used often to soften an unpleasant statement
s. feeling worry or concern or insecurity
s. having feelings of aversion or unwillingness","a. 害怕的, 恐怕的, 遗憾的",j:100,3,1,zk gk,1562,1400,afraid
after,after,'ɑ:ftә,"s. located farther aft
r. behind or in the rear","prep. 在...之后, 由于
conj. 在...之后
adv. 后来",i:68/c:31/r:1,5,1,zk gk,96,120,after
afternoon,afternoon,'ɑ:ftә'nu:n,n. the part of the day between noon and evening,"n. 午后, 下午",n:100,4,1,zk gk,1118,1191,afternoon
again,again,ә'gein,r. anew,"adv. 再一次, 又, 到原处",r:100,5,1,zk gk,156,184,again
against,against,ә'geinst,"prep. Abreast; opposite to; facing; towards; as, against the
   mouth of a river; -- in this sense often preceded by over.
prep. From an opposite direction so as to strike or come in
   contact with; in contact with; upon; as, hail beats against the roof.
prep. In opposition to, whether the opposition is of
   sentiment or of action; on the other side; counter to; in contrariety
   to; hence, adverse to; as, against reason; against law; to run a race
   against time.
prep. By of before the time that; in preparation for; so as
   to be ready for the time when.","prep. 反对, 对着, 倚靠",i:100,5,1,zk gk cet4 ky,155,180,against
age,age,eidʒ,"n. how long something has existed
n. a time of life (usually defined in years) at which some particular qualification or power arises
v. begin to seem older; get older
v. make older","n. 年龄, 老年, 成年, 寿命, 时代, 时期
v. 变老, 成熟",v:7/n:93,5,1,zk gk toefl ielts,363,386,age
ago,ago,ә'gәu,"s. gone by; or in the past
r. in the past",adv. 以前,r:100,5,1,zk gk,504,316,ago
agree,agree,ә'gri:,"v. be in accord; be in agreement
v. consent or assent to a condition, or agree to do something
v. show grammatical agreement
v. be agreeable or suitable","vi. 同意, 赞成, 应允, 适合
vt. 承认, 认定, 同意",v:100,5,1,zk gk,401,514,agree
agreement,agreement,ә'gri:mәnt,"n. the statement (oral or written) of an exchange of promises
n. compatibility of observations
n. harmony of people's opinions or actions or characters
n. the thing arranged or agreed to","n. 同意, 合约, 协议
[经] 契约, 协议, 协定",n:100,4,1,zk gk ielts,623,1059,agreement
air,air,єә,"n. a mixture of gases (especially oxygen) required for breathing; the stuff that the wind consists of
n. the region above the ground
n. a distinctive but intangible quality surrounding a person or thing
n. once thought to be one of four elements composing the universe (Empedocles)","n. 空气, 旋律, 态度
vt. 晾, 使通风, 夸耀",v:3/n:97,5,1,zk gk toefl ielts,527,370,air
airline,airline,'єәlain,"n. a hose that carries air under pressure
n. a commercial enterprise that provides scheduled flights for passengers","n. 航线, 航线的设备, 航空公司",n:100,4,0,zk gk cet4 ky,3554,2128,airline
airplane,airplane,'єәplein,n. an aircraft that has a fixed wing and is powered by propellers or jets,"n. 飞机
[机] 飞机",n:100,2,0,zk gk cet4,21702,3519,airplane
airport,airport,'єәpɒ:t,n. an airfield equipped with control tower and hangars as well as accommodations for passengers and cargo,"n. 飞机场
[机] 航空站, 机场",n:100,4,1,zk gk ielts,2541,1765,airport
alive,alive,ә'laiv,"a. possessing life
s. (often followed by `with') full of life and spirit
s. (followed by `to' or `of') aware of
s. capable of erupting","a. 活着的, 活泼的, 敏感的, 热闹的",j:100,3,1,zk gk cet4 cet6 ky,2080,1532,alive
all,all,ɒ:l,"a. quantifier; used with either mass or count nouns to indicate the whole number or amount of or every one of a class
s. completely given to or absorbed by","a. 所有的, 全部的, 一切的
adv. 全部, 全然
pron. 全部
n. 全部",r:17/d:83,5,1,zk gk ielts,39,43,all
allow,allow,ә'lau,"v. let have
v. give or assign a resource to a particular person or cause
v. allow or plan for a certain possibility; concede the truth or validity of something
v. grant as a discount or in exchange","vt. 允许, 同意给予, 承认
vi. 容许, 猜想
[计] 允许命令",v:100,5,1,zk gk cet4 ky,257,339,allow
almost,almost,'ɒ:lmәust,r (of actions or states) slightly short of or not quite accomplished; all but,"adv. 几乎, 差不多",r:100,5,1,zk gk,280,291,almost
alone,alone,ә'lәun,"s. isolated from others
s. lacking companions or companionship
s. exclusive of anyone or anything else
s. radically distinctive and without equal","a. 孤独的, 单独的, 独自的
adv. 独自地",r:60/j:40,4,1,zk gk cet4 ky toefl ielts,1297,1097,alone
along,along,ә'lɒŋ,"r. with a forward motion
r. in accompaniment or as a companion
r. to a more advanced state
r. in addition (usually followed by `with')","adv. 平行地, 向前
prep. 沿着",i:72/r:28,5,1,zk gk,823,447,along
aloud,aloud,ә'laud,r. using the voice; not silently,"adv. 出声地, 大声地",r:100,1,1,zk gk cet4 ky,5849,5694,aloud
already,already,ɒ:l'redi,r. prior to a specified or implied time,"adv. 已经, 早已",r:100,5,1,zk gk,255,334,already
also,also,'ɒ:lsәu,r in addition,"adv. 也, 并且, 同样地",r:100,5,1,zk gk,77,87,also
