word,sw,phonetic,definition,translation,pos,collins,oxford,tag,bnc,frq,word_lower
a,a,ei,"n. the 1st letter of the Roman alphabet
n. the blood group whose red cells carry the A antigen","第一个字母 A; 一个; 第一的
art. [计] 累加器, 加法器, 地址, 振幅, 模拟, 区域, 面积, 汇编, 组件, 异步",a:99/t:1,5,1,zk gk,5,5,a
abandon,abandon,ә'bændәn,"n. the trait of lacking restraint or control; reckless freedom from inhibition or worry
v. forsake, leave behind
v. give up with the intent of never claiming again
v. stop maintaining or insisting on; of ideas or claims","vt. 放弃, 抛弃, 遗弃, 使屈从, 沉溺, 放纵
n. 放任, 无拘束, 狂热",n:4/v:96,3,1,gk cet4 cet6 ky toefl gre,2057,2182,abandon
ability,ability,ә'biliti,"n. the quality of being able to perform; a quality that permits or facilitates achievement or accomplishment
n. possession of the qualities (especially mental qualities) required to do something or get something done","n. 能力, 才干
[经] 能力, 才能",n:100,4,1,zk gk cet4 ky toefl ielts,946,783,ability
able,able,'eibl,"a. (usually followed by `to') having the necessary means or skill or know-how or authority to do something
s. have the skills and qualifications to do things well
s. having inherent physical or mental ability or capacity
s. having a strong healthy body","a. 能干的, 能够的",j:100,5,1,zk gk,295,385,able
abnormal,abnormal,æb'nɒ:mәl,"a. not normal; not typical or usual or regular or conforming to a norm
a. departing from the normal in e.g. intelligence and development
s. much greater than the normal","a. 反常的, 不规则的, 变态的, 畸形的
n. 畸形的人",j:100,1,0,gk cet4 cet6 ky toefl ielts,6548,8241,abnormal
aboard,aboard,ә'bɒ:d,"r. on a ship, train, plane or other vehicle
r. on first or second or third base
r. side by side
r. part of a group","adv. 在船上, 在火车上, 在飞机上
prep. 在...之上",i:66/r:34,2,0,gk cet4 ky toefl,7625,4984,aboard
abolish,abolish,ә'bɒliʃ,v. do away with,"vt. 废止, 革除, 消灭
[经] 废除, 取消, 裁撤",v:100,2,0,gk cet6 ky toefl ielts gre,3736,7490,abolish
abortion,abortion,ә'bɒ:ʃәn,n. termination of pregnancy,"n. 流产, 堕胎, 失败, 夭折, 中止
[医] 流产, 小产; 顿挫",n:100,3,0,gk ielts,4341,1969,abortion
about,about,ә'baut,"s. on the move
r. all around or on all sides
r. in the area or vicinity
r. used of movement to or among many different places or in no particular direction","prep. 在...周围, 大约, 有关, 关于
adv. 大约, 四处, 在附近, 周围",i:80/r:20,5,1,zk gk,63,46,about
above,above,ә'bʌv,"n. an earlier section of a written text
s. appearing earlier in the same text
r. at an earlier place
r. in or to a place that is higher","prep. 在上方, 超出
adv. 在上面
a. 上述的, 上面的",i:61/r:33/j:6,4,1,zk gk,733,893,above
abroad,abroad,ә'brɒ:d,"s. in a foreign country
r. to or in a foreign country","adv. 往国外, 到室外, 到处
a. 往国外的, 在室外的, 广泛四散的",r:100,3,1,zk gk toefl,2243,3363,abroad
abrupt,abrupt,ә'brʌpt,"s. marked by sudden changes in subject and sharp transitions
s. exceedingly sudden and unexpected
s. extremely steep
s. surprisingly and unceremoniously brusque in manner","a. 突然的, 唐突的, 陡峭的, 不连贯的",j:100,2,0,gk cet6 ky toefl ielts gre,8560,8703,abrupt
absence,absence,'æbsәns,"n. the state of being absent
n. failure to be present
n. the time interval during which something or somebody is away
n. the occurrence of an abrupt, transient loss or impairment of consciousness (which is not subsequently remembered), sometimes with light twitching, fluttering eyelids, etc.; common in petit mal epilepsy","n. 缺席, 缺乏, 没有
[医] 失神",n:100,3,1,gk cet4 cet6 ky toefl,1585,2524,absence
absent,absent,'æbsәnt,"v. go away or leave
a. not being in a specified place
s. lost in thought; showing preoccupation","a. 缺席的, 不在的, 缺乏的, 漫不经心的
vt. 使缺席",j:86/v:14,2,1,zk gk cet4 cet6 ky toefl,4300,5516,absent
absolute,absolute,'æbsәlu:t,"n. something that is conceived or that exists independently and not in relation to other things; something that does not depend on anything else and is beyond human control; something that is not relative
a. perfect or complete or pure
s. complete and without restriction or qualification; sometimes used informally as intensifiers
s. not limited by law","a. 绝对的, 专制的, 完全的, 独立的
n. 绝对事物",j:97/n:3,3,1,gk cet4 cet6 ky toefl gre,2420,3165,absolute
absorb,absorb,әb'sɒ:b,"v. become imbued
v. take up mentally
v. take up, as of debts or payments
v. take in, also metaphorically","vt. 吸收, 使全神贯注, 同化, 买进, 理解, 承受, 忍受, 承担
[医] 吸收",v:100,2,1,gk cet4 cet6 ky toefl ielts gre,2879,3120,absorb
abstract,abstract,'æbstrækt,"v. consider a concept without thinking of a specific example; consider abstractly or theoretically
v. consider apart from a particular case or instance
v. give an abstract (of)
a. existing only in the mind; separated from embodiment","a. 抽象的, 深奥的
n. 摘要, 抽象概念
vt. 摘要, 提炼, 使抽象化
[计] 摘录; 摘要; 抽象",n:6/j:87/v:7,2,0,gk cet4 cet6 ky toefl ielts gre,3729,4007,abstract
absurd,absurd,әb'sә:d,"n. a situation in which life seems irrational and meaningless
s. inconsistent with reason or logic or common sense
s. incongruous; inviting ridicule","a. 荒谬的, 不合理的, 可笑的
n. 荒诞",j:100,2,0,gk cet6 ky toefl ielts gre,5676,5901,absurd
abundant,abundant,ә'bʌndәnt,a. present in great quantity,"a. 丰富的, 充分的, 大量的",j:100,1,0,gk cet4 ky toefl gre,7823,6223,abundant
abuse,abuse,ә'bju:s.ә'bju:z,"n. a rude expression intended to offend or hurt
v. use foul or abusive language towards
v. use wrongly or improperly or excessively","n. 滥用, 虐待, 恶习, 辱骂
vt. 滥用, 辱骂, 虐待",v:24/n:76,4,1,gk cet4 cet6 ky toefl ielts gre,2352,1540,abuse
academic,academic,.ækә'demik,"a. associated with academia or an academy
s. hypothetical or theoretical and not expected to produce an immediate or practical result
s. marked by a narrow focus on or display of learning especially its trivial aspects","a. 学院的, 学术的, 不切实际的
n. 大学生, 大学教师, 学者, 学会会员",j:88/n:12,3,1,gk cet4 cet6 ky toefl ielts gre,1941,1465,academic
academy,academy,ә'kædәmi,"n. a secondary school (usually private)
n. an institution for the advancement of art or science or literature
n. a school for special training
n. a learned establishment for the advancement of knowledge","n. 学院, 院校, 学会",n:100,2,0,gk cet4 cet6 ky toefl,4366,4895,academy
accelerate,accelerate,әk'selәreit,"v. move faster
v. cause to move faster","v. 加速, 促进",v:100,2,0,gk cet4 cet6 ky toefl ielts gre,5328,4925,accelerate
accent,accent,'æksәnt,"n. distinctive manner of oral expression
n. a diacritical mark used to indicate stress or placed above a vowel to indicate a special pronunciation","n. 重音, 口音, 特点, 注重点
vt. 重读, 加重音号于, 强调",v:11/n:89,2,1,zk gk cet4 ky,3701,4140,accent
accept,accept,әk'sept,"v. consider or hold as true
v. receive willingly something given or offered
v. give an affirmative reply to; respond favorably to
v. react favorably to; consider right and proper","vt. 接受, 承认, 同意, 相信, 赞成, 承担, 承兑, 采纳, 接纳, 容忍
vi. 同意",v:100,5,1,zk gk cet4 ky,488,766,accept
access,access,'ækses,"n. the right to obtain or make use of or take advantage of something (as services or membership)
n. a way of entering or leaving
n. a code (a series of characters or digits) that must be entered in some way (typed or dialed or spoken) to get the use of something (a telephone line or a computer or a local area network etc.)
n. (computer science) the operation of reading or writing stored information","n. 通路, 入口, 接近, 进入, 使用权, 发作
vt. 访问, 存取, 接近, 使用
[计] 访问, 存取",v:15/n:85,3,1,gk cet4 cet6 ky toefl ielts gre,999,1113,access
accessible,accessible,әk'sesәbl,"a. capable of being reached
s. capable of being read with comprehension
s. easily obtained
s. easy to get along with or talk to; friendly","a. 易接近的, 可进入的, 可使用的, 易受影响的, 可理解的",j:100,2,0,gk cet6 toefl ielts gre,4162,4377,accessible
accident,accident,'æksidәnt,"n. an unfortunate mishap; especially one causing damage or injury
n. anything that happens suddenly or by chance without an apparent cause","n. 意外事件, 机遇, 事故, 次要方面
[化] 意外事故; 事故",n:100,3,1,zk gk cet4 ky toefl,1187,1707,accident
accommodation,accommodation,ә.kɒmә'deiʃәn,"n. a settlement of differences
n. in the theories of Jean Piaget: the modification of internal representations in order to accommodate a changing knowledge of reality
n. living quarters provided for public convenience
n. the act of providing something (lodging or seat or food) to meet a need","n. 膳宿, 预订铺位, 适应性调节, 调和, 贷款
[医] 调节(眼); 适应",n:100,2,1,gk cet4 cet6 ky ielts,2048,5369,accommodation
accompany,accompany,ә'kʌmpәni,v. go or travel along with,"vt. 陪伴, 伴随, 补充, 为...伴奏
vi. 伴奏, 伴唱",v:100,3,1,gk cet4 cet6 ky toefl ielts gre,1902,2438,accompany
accomplish,accomplish,ә'kʌmpliʃ,"v put in effect
v to gain with effort","vt. 完成, 达到, 实现, 使完美",v:100,2,0,gk cet4 ky toefl ielts gre,5546,2345,accomplish
account,account,ә'kaunt,"n. a formal contractual relationship established to provide for regular banking or brokerage or business services
n. importance or value
n. a statement of recent transactions and the resulting balance
n. the quality of taking advantage","n. 报告, 解释, 估价, 理由, 利润, 算账, 帐目
vi. 报帐, 解释, 导致, 报偿, 占, 杀死
vt. 认为
[计] 帐户, 帐号",v:35/n:65,5,1,gk cet4 ky toefl ielts,498,1071,account
accountant,accountant,ә'kauntәnt,n. someone who maintains and audits business accounts,"n. 会计人员, 会计师
[经] 会计师, 会计人员",n:100,2,0,gk ky toefl ielts,3280,5949,accountant
accumulate,accumulate,ә'kju:mjuleit,v. collect or gather,"v. 积聚, 堆积",v:100,2,0,gk cet4 cet6 ky toefl ielts gre,4997,5083,accumulate
accuracy,accuracy,'ækjurәsi,"n. the quality of being near to the true value
n. (mathematics) the number of significant figures given in a number","n. 精确, 正确
[计] 准确度",n:100,0,0,gk cet4 cet6 ky toefl ielts gre,3958,4076,accuracy
accuse,accuse,ә'kju:z,v. bring an accusation against; level a charge against,"vt. 指责, 控告, 归咎于
vi. 指责, 控告",v:100,4,1,gk cet4 cet6 ky toefl ielts gre,1893,2024,accuse
accustomed,accustomed,ә'kʌstәmd,"a. (often followed by `to') in the habit of or adapted to
s. commonly used or practiced; usual","a. 惯常的, 习惯了的",j:100,1,0,gk cet4 cet6 ky toefl,6431,8524,accustomed
ache,ache,eik,"n. a dull persistent (usually moderately intense) pain
v. have a desire for something or someone who is not present
v. be the source of pain","n. 疼痛
vi. 痛, 哀怜, 渴望",n:42/v:58,2,0,zk gk cet4 ky,8267,7717,ache
achieve,achieve,ә'tʃi:v,v. to gain with effort,"vt. 完成, 达到
vi. 如愿以偿",v:100,4,1,zk gk cet4 cet6 ky toefl ielts,592,1152,achieve
achievement,achievement,ә'tʃi:vmәnt,n the action of accomplishing something,"n. 完成, 成就, 功业",n:100,2,1,gk cet4 cet6 toefl ielts,1978,2021,achievement
acid,acid,'æsid,"n. any of various water-soluble compounds having a sour taste and capable of turning litmus red and reacting with a base to form a salt
n. street name for lysergic acid diethylamide
s. having the characteristics of an acid","n. 酸, 酸类物质, 尖刻, 迷幻药
a. 酸的, 酸性的, 尖刻的, 敏锐的
[计] 自动文档互参与索引生成程序",j:1/n:99,3,1,gk cet4 cet6 ky toefl ielts,1597,3238,acid
acknowledge,acknowledge,әk'nɒlidʒ,"v. report the receipt of
v. express obligation, thanks, or gratitude for
v. accept as legally binding and valid
v. accept (someone) to be what is claimed or accept his power and authority","vt. 承认, 告知收悉, 答谢, 报偿
[经] 承认, 答谢, 收到的通知",v:100,3,1,gk cet4 cet6 ky toefl ielts gre,2105,1654,acknowledge
acquaintance,acquaintance,ә'kweintәns,"n. personal knowledge or information about someone or something
n. a relationship less intimate than friendship
n. a person with whom you are acquainted","n. 认识, 相识者",n:100,2,0,gk cet4 cet6 ky toefl gre,5967,6274,acquaintance
acquire,acquire,ә'kwaiә,"v. locate (a moving entity) by means of a tracking system such as radar
v. win something through one's efforts","vt. 获得, 学到
[电] 目标锁定",v:100,3,1,gk cet4 cet6 ky toefl ielts,1407,2063,acquire
acquisition,acquisition,.ækwi'ziʃәn,"n. the act of contracting or assuming or acquiring possession of something
n. something acquired","n. 获得, 获得物
[经] 收购, 招揽, 取得",n:100,3,0,gk cet4 cet6 ky toefl ielts,2567,3856,acquisition
